date,return,cum_return
2018-01-02,0.010354895774055928,0.010354895774056017
2018-01-03,0.005521431852789486,0.015933501478204715
2018-01-04,0.0006944995487437529,0.01663906683653482
2018-01-05,-0.00017291512208826378,0.01646327456817298
2018-01-08,-0.005962948588763967,0.01040215631955621
2018-01-09,0.0015616647075204285,0.011980065707483112
2018-01-10,-0.0004978588048149559,0.01147624252147339
2018-01-11,-0.004360169579001034,0.007066034578949054
2018-01-12,-0.006259811261120964,0.0007619912749992075
2018-01-15,0.012160746223786297,0.012932003881305443
2018-01-16,0.011173296746085672,0.02424979374427827
2018-01-17,0.013701721037135404,0.0382837786905057
2018-01-18,0.01255377971424776,0.05131816452906324
2018-01-19,0.004877193787518669,0.056445646949810024
2018-01-22,-0.002811021776760325,0.0534759552302706
2018-01-23,-0.006890137405956492,0.046217361144862856
2018-01-24,-0.011734798010657816,0.03394021173658457
2018-01-25,-0.01468820444275351,0.01875348652501363
2018-01-26,-0.007861817247727337,0.010744232793468811
2018-01-29,-0.004686279998106115,0.006007602312127602
2018-01-30,-0.020685675691155824,-0.01480234469213837
2018-01-31,-0.026540383409051328,-0.040949868197707406
